Tissue ,Expt,Treatment ,Sample ID,Blot ID,Lane,[Protein] (ug),Ponceau IntegratedDensity,HSP-RelativeDensity,HSP Ratio,ControlAverage,foldChange
Mg,Acclimation,0wk,0wk-16,36,3,20,5059874,18751.468,0.003705916,0.001407394,2.633175742
Mg,Acclimation,0wk,0wk-18,36,4,20,5020437,2084.77,0.000415257,0.001407394,0.295053589
Mg,Acclimation,6wk,6wk-12,36,5,20,5025843,4382.447,0.000871982,0.001407394,0.619572352
Mg,Acclimation,6wk,6wk-14,36,6,20,5037303,10654.569,0.002115134,0.001407394,1.502872321
Mg,Acclimation,6wk,6wk-16,36,7,20,5089231,20721.468,0.00407163,0.001407394,2.893027955
Mg,Acclimation,6wk,6wk-18,36,8,20,5172710,17928.69,0.003466015,0.001407394,2.462718096
FB,Acclimation,0wk,0wk-2,37,1,10,5036359,16202.347,0.003217075,0.004902609,0.656196564
FB,Acclimation,0wk,0wk-4,37,2,10,4911336,38454.794,0.007829803,0.004902609,1.597068506
FB,Acclimation,0wk,0wk-6,37,3,10,4484022,18874.276,0.004209229,0.004902609,0.858569131
FB,Acclimation,0wk,0wk-8,37,4,10,4469173,17033.225,0.00381127,0.004902609,0.777396211
FB,Acclimation,0wk,0wk-10,37,5,10,4466862,24325.054,0.005445669,0.004902609,1.110769588
FB,Acclimation,6wk,6wk-2,37,6,10,4528816,19964.326,0.004408288,0.004902609,0.899171803
FB,Acclimation,6wk,6wk-4,37,7,10,4524327,14022.79,0.00309942,0.004902609,0.632198042
FB,Acclimation,6wk,6wk-6,37,8,10,4560132,9259.598,0.002030555,0.004902609,0.414178376
FB,Acclimation,6wk,6wk-8,37,9,10,4617685,35249.125,0.007633506,0.004902609,1.557029138
FB,Acclimation,6wk,6wk-10,37,10,10,4778152,19947.175,0.004174663,0.004902609,0.851518601
FB,Acclimation,0wk,0wk-12,38,2,10,3146601,5511.083,0.00175144,0.002233845,0.784047109
FB,Acclimation,0wk,0wk-14,38,3,10,3286171,8249.64,0.002510411,0.002233845,1.123806969
FB,Acclimation,0wk,0wk-16,38,4,10,3269956,4461.276,0.001364323,0.002233845,0.61075083
